"ID","IntDate","H4","G3_EDU","H1","AGE","A1","B8_1","A7_1","A10","A13_1","A13_2","A13_3","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","W5"
"27900001","2022-05-31",0,"University","Male",78,2,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900002","2022-05-27",0,"University","Female",58,2,2,0,3,NA,0,0,0,0,0,0,0,1,0
"27900006","2022-06-05",0,"University","Male",57,1,5,0,3,NA,1,1,1,1,0,1,1,1,0
"27900013","2022-08-12",0,"University","Male",60,2,5,0,3,NA,0,0,0,0,0,0,0,0,1
"27900014","2022-05-30",0,"University","Female",38,1,4,1,NA,NA,0,0,0,0,0,0,0,1,0
"27900015","2022-06-11",0,"Non-University","Male",82,3,8,1,2,NA,0,0,0,0,0,0,0,0,1
"27900019","2022-05-28",0,"Non-University","Other",64,2,2,1,1,NA,0,0,0,0,0,1,1,1,1
"27900020","2022-09-30",0,"Non-University","Male",78,2,3,1,3,NA,0,0,0,0,1,0,1,1,1
"27900021","2022-05-26",0,"Non-University","Male",45,2,5,0,2,NA,0,0,1,1,0,0,0,1,1
"27900022","2022-05-29",0,"Non-University","Male",50,2,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900023","2022-06-05",0,"Non-University","Female",56,2,5,0,3,NA,0,0,0,0,0,0,1,0,0
"27900024","2022-05-27",0,"Non-University","Female",38,2,5,1,3,NA,0,0,1,0,1,1,1,0,1
"27900026","2022-06-10",0,"University","Female",28,2,4,0,3,NA,0,0,0,0,0,1,0,0,0
"27900027","2022-06-09",0,"Non-University","Female",73,2,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900030","2022-09-30",0,"University","Male",74,3,8,0,3,NA,0,0,1,1,1,1,1,1,0
"27900034","2022-06-05",0,"University","Female",40,1,5,0,1,NA,0,0,0,0,0,0,0,0,0
"27900035","2022-08-12",0,"University","Female",41,1,5,1,2,NA,0,0,0,0,0,0,0,1,0
"27900037","2022-06-04",0,"Non-University","Female",44,2,4,0,3,NA,0,0,0,0,0,0,0,0,1
"27900039","2022-05-30",0,"University","Male",56,3,7,0,3,1,0,0,1,1,0,1,0,0,1
"27900045","2022-05-26",0,"University","Female",28,1,7,0,NA,NA,0,0,0,0,0,0,0,1,0
"27900053","2022-07-24",0,"University","Male",64,3,6,0,2,NA,0,0,0,0,0,0,0,0,0
"27900056","2022-05-28",0,"Non-University","Female",55,0,999,1,NA,NA,0,0,0,0,0,0,0,0,0
"27900060","2022-08-12",0,"Non-University","Female",60,2,5,0,3,NA,0,0,1,1,0,0,0,1,0
"27900063","2022-06-09",0,"University","Male",53,3,5,0,3,NA,0,0,1,0,0,0,1,0,0
"27900074","2022-09-30",0,"University","Female",32,2,6,1,1,NA,0,0,0,1,1,0,0,0,1
"27900080","2022-05-30",0,"University","Male",84,3,8,0,3,NA,0,0,0,0,0,0,0,0,0
"27900087","2022-06-16",0,"Non-University","Female",68,3,4,1,3,NA,0,0,0,0,0,0,1,1,0
"27900091","2022-06-03",0,"Non-University","Female",64,2,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900094","2022-05-30",0,"University","Female",51,3,6,1,1,NA,0,0,0,0,0,0,0,0,0
"27900096","2022-08-12",0,"University","Female",53,3,5,1,2,NA,0,0,0,0,0,0,0,0,1
"27900097","2022-09-30",0,"University","Male",38,3,3,0,3,1,1,0,1,1,1,1,1,1,0
"27900100","2022-06-11",0,"Non-University","Female",79,2,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900104","2022-06-06",0,"Non-University","Male",58,3,1,0,3,NA,0,0,1,0,1,1,1,1,0
"27900107","2022-06-03",0,"University","Male",79,3,5,0,3,NA,0,0,1,1,0,1,0,1,0
"27900108","2022-08-12",0,"Non-University","Female",54,1,5,1,2,NA,0,0,1,0,1,1,1,1,1
"27900110","2022-06-05",0,"University","Female",31,1,0,1,3,NA,0,0,1,0,1,1,0,1,0
"27900111","2022-06-10",0,"University","Female",65,2,3,0,1,NA,0,0,1,1,0,0,1,1,0
"27900116","2022-08-12",0,"Non-University","Female",73,2,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900117","2022-08-12",0,"University","Male",67,3,6,0,3,NA,0,0,0,1,0,0,1,0,1
"27900119","2022-06-06",0,"University","Male",70,3,3,1,3,NA,0,0,0,0,1,0,1,1,1
"27900128","2022-08-12",0,"Non-University","Female",65,1,5,1,3,NA,0,0,1,0,0,0,1,1,0
"27900130","2022-08-12",0,"University","Female",45,3,3,1,3,NA,0,0,0,1,0,0,0,0,0
"27900132","2022-06-11",0,"University","Male",43,2,999,1,3,NA,0,0,0,0,0,0,0,0,0
"27900133","2022-06-09",0,"University","Male",66,3,2,0,3,NA,1,0,1,0,1,0,1,1,0
"27900135","2022-07-30",0,"University","Female",58,3,4,0,3,NA,0,0,1,0,1,0,1,1,0
"27900139","2022-06-14",0,"University","Male",22,1,5,1,3,NA,0,0,1,1,0,0,1,1,1
"27900141","2022-09-30",0,"Non-University","Male",65,3,8,1,3,NA,0,0,0,0,0,0,0,1,0
"27900143","2022-08-12",0,"Non-University","Female",64,3,1,1,3,NA,0,0,0,0,0,0,1,1,0
"27900146","2022-05-26",0,"University","Male",62,2,8,0,2,NA,0,0,1,1,0,0,1,1,0
"27900151","2022-05-27",0,"University","Male",58,3,4,0,3,NA,0,0,0,0,0,0,1,1,0
"27900152","2022-06-03",0,"University","Female",50,3,4,0,3,NA,1,0,1,0,1,0,1,1,0
"27900155","2022-08-12",0,"University","Male",78,2,6,1,2,NA,0,0,0,0,0,0,0,1,0
"27900156","2022-08-12",1,"Non-University","Male",84,3,5,1,3,NA,0,0,NA,1,NA,NA,1,NA,0
"27900159","2022-06-02",0,"Non-University","Female",60,2,5,0,2,NA,0,0,0,0,0,0,0,0,0
"27900161","2022-05-26",0,"University","Female",62,2,7,0,3,NA,0,0,0,0,0,0,0,1,0
"27900163","2022-05-27",0,"University","Female",33,2,4,1,1,NA,1,0,0,1,0,0,0,0,0
"27900164","2022-05-26",0,"Non-University","Female",51,2,8,0,3,NA,0,0,0,0,0,0,0,0,1
"27900167","2022-06-09",1,"University","Female",46,1,2,1,1,NA,0,0,0,0,0,1,1,0,0
"27900168","2022-05-27",0,"Non-University","Male",60,0,10,1,2,NA,0,0,0,0,0,0,0,0,0
"27900174","2022-08-12",0,"Non-University","Female",87,2,4,1,3,NA,0,0,0,0,0,0,1,1,0
"27900183","2022-06-11",0,"University","Male",33,2,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900187","2022-08-12",0,"Non-University","Male",75,3,8,0,3,NA,0,0,0,1,0,0,1,0,1
"27900191","2022-06-07",0,"Non-University","Male",57,1,5,0,3,NA,0,0,0,0,0,0,0,0,0
"27900192","2022-06-11",0,"University","Female",52,3,0,0,3,NA,1,0,1,1,1,1,1,1,0
"27900194","2022-06-28",0,"Non-University","Male",67,3,8,1,3,NA,0,0,0,0,0,1,1,0,1
"27900197","2022-08-12",0,"University","Male",58,3,7,1,3,NA,0,0,1,1,0,1,1,1,0
"27900198","2022-05-26",0,"University","Male",86,2,3,1,3,NA,0,0,1,0,0,0,0,0,1
"27900204","2022-06-04",0,"Non-University","Male",46,2,7,1,3,NA,0,0,0,0,0,0,0,0,0
"27900210","2022-06-03",0,"Non-University","Male",41,2,7,1,3,NA,0,0,0,0,0,1,0,0,0
"27900212","2022-08-25",0,"University","Female",32,2,6,0,2,NA,0,0,0,1,0,1,1,1,1
"27900214","2022-06-05",0,"University","Female",41,2,2,0,3,NA,0,0,0,0,0,0,1,1,0
"27900221","2022-05-27",0,"University","Male",89,3,2,0,3,NA,0,0,1,1,0,1,1,1,0
"27900234","2022-08-12",0,"Non-University","Male",68,3,3,1,3,NA,0,0,0,0,0,0,0,0,0
"27900238","2022-05-31",0,"University","Female",63,3,3,0,3,1,1,0,1,0,1,1,1,1,1
"27900240","2022-08-12",0,"Non-University","Female",82,3,8,0,3,NA,0,0,0,0,0,0,0,0,0
"27900242","2022-05-28",0,"University","Female",66,3,3,0,3,NA,0,0,1,0,1,0,1,1,1
"27900257","2022-08-31",0,"University","Female",23,3,8,0,3,NA,0,0,1,1,0,0,0,0,1
"27900269","2022-06-02",0,"Non-University","Female",30,2,7,1,3,NA,1,0,1,0,0,0,0,1,0
"27900270","2022-07-23",0,"University","Female",32,2,6,0,3,1,0,0,0,0,0,1,1,1,NA
"27900271","2022-06-11",0,"Non-University","Female",89,2,2,1,3,NA,0,0,1,0,0,0,1,1,0
"27900272","2022-06-07",0,"University","Female",36,3,3,0,3,1,0,0,1,0,1,1,0,1,0
"27900273","2022-08-12",0,"Non-University","Female",64,2,999,1,3,NA,0,0,0,0,0,0,1,0,0
"27900274","2022-06-05",0,"University","Male",71,3,1,0,3,NA,1,0,0,0,1,1,1,1,0
"27900276","2022-08-12",0,"Non-University","Female",72,2,5,0,NA,NA,0,0,0,1,0,0,1,0,0
"27900279","2022-05-30",0,"Non-University","Male",50,2,4,0,3,NA,0,0,0,0,0,0,0,1,0
"27900280","2022-06-21",0,"University","Female",55,3,9,0,3,NA,0,0,1,0,0,0,0,0,1
"27900281","2022-06-01",0,"University","Female",50,2,1,1,3,NA,0,0,0,0,0,0,0,1,0
"27900285","2022-06-03",0,"Non-University","Female",65,3,5,1,3,NA,0,0,1,0,0,1,1,1,0
"27900288","2022-06-09",0,"University","Male",40,2,6,0,3,NA,0,0,0,0,0,0,1,1,0
"27900289","2022-06-17",0,"Non-University","Female",50,2,7,1,NA,NA,0,0,0,0,0,0,0,1,0
"27900300","2022-06-06",0,"University","Female",69,1,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900301","2022-05-31",0,"University","Male",73,3,4,0,3,NA,1,0,0,0,0,0,0,0,0
"27900305","2022-06-14",0,"University","Male",56,3,4,0,3,NA,0,0,1,0,0,1,1,1,0
"27900314","2022-06-14",0,"Non-University","Female",50,1,4,0,3,NA,0,0,0,0,1,0,NA,0,0
"27900315","2022-06-20",0,"University","Female",37,1,5,1,2,NA,0,0,NA,NA,NA,NA,NA,NA,0
"27900317","2022-06-02",0,"University","Female",36,3,0,1,3,NA,0,0,1,0,0,0,0,1,0
"27900320","2022-08-12",0,"University","Female",49,2,4,1,3,NA,0,0,0,0,0,0,0,0,0
"27900327","2022-06-07",0,"Non-University","Female",55,3,5,0,3,NA,0,0,0,0,0,0,0,0,0
