"gender","age","state","left_right_position","most_important_issues_2022","vote_2022"
"Male",78,"New South Wales",5,"Health and Medicare","Labor"
"Female",58,"New South Wales",2,"Education","Labor"
"Male",57,"New South Wales",5,"The environment","Labor"
"Male",60,"New South Wales",5,"Taxation","Labor"
"Female",38,"New South Wales",4,"Health and Medicare","Liberal"
"Male",82,"New South Wales",8,"The cost of living","Liberal"
"Male",78,"New South Wales",3,"Education","Labor"
"Male",50,"New South Wales",5,"Education","Labor"
"Female",56,"New South Wales",5,"Management of the economy","Labor"
"Female",28,"New South Wales",4,"The cost of living","Labor"
"Female",73,"New South Wales",5,"Health and Medicare","Labor"
"Male",74,"New South Wales",8,"Global warming","Liberal"
"Female",40,"New South Wales",5,"The cost of living","Labor"
"Female",41,"New South Wales",5,"Health and Medicare","Liberal"
"Female",44,"New South Wales",4,"The environment","Labor"
"Male",56,"New South Wales",7,"Management of the economy","Liberal"
"Female",28,"New South Wales",7,"The cost of living","Labor"
"Male",64,"New South Wales",6,"Management of the economy","Liberal"
"Female",60,"New South Wales",5,"Education","Liberal"
"Male",53,"New South Wales",5,"Health and Medicare","Liberal"
"Female",32,"New South Wales",6,"Immigration","Labor"
"Male",84,"New South Wales",8,"Management of the economy","Liberal"
"Female",68,"New South Wales",4,"Management of the economy","Liberal"
"Female",64,"New South Wales",5,"The cost of living","Labor"
"Female",51,"New South Wales",6,"Management of the economy","Liberal"
"Female",53,"New South Wales",5,"The cost of living","Labor"
"Female",79,"New South Wales",5,"National security","Liberal"
"Male",58,"New South Wales",1,"Global warming","Labor"
"Male",79,"New South Wales",5,"Global warming","Labor"
"Female",54,"New South Wales",5,"The cost of living","Liberal"
"Female",65,"New South Wales",3,"The environment","Labor"
"Female",73,"New South Wales",5,"Education","Labor"
"Male",67,"New South Wales",6,"Management of the economy","Liberal"
"Female",45,"New South Wales",3,"The environment","Labor"
"Male",66,"New South Wales",2,"Global warming","Labor"
"Male",22,"New South Wales",5,"The environment","Labor"
"Male",65,"New South Wales",8,"Taxation","Liberal"
"Female",64,"New South Wales",1,"Management of the economy","Liberal"
"Male",62,"New South Wales",8,"Management of the economy","Liberal"
"Male",58,"New South Wales",4,"The cost of living","Labor"
"Male",84,"New South Wales",5,"The cost of living","Labor"
"Female",60,"New South Wales",5,"Management of the economy","Liberal"
"Female",62,"New South Wales",7,"Health and Medicare","Labor"
"Female",33,"New South Wales",4,"The cost of living","Labor"
"Female",46,"New South Wales",2,"The COVID-19 pandemic","Liberal"
"Male",60,"New South Wales",10,"The cost of living","Labor"
"Female",87,"New South Wales",4,"Health and Medicare","Labor"
"Male",33,"New South Wales",5,"Management of the economy","Labor"
"Female",52,"New South Wales",0,"Global warming","Labor"
"Male",67,"New South Wales",8,"Health and Medicare","Labor"
"Female",32,"New South Wales",6,"The cost of living","Liberal"
"Female",41,"New South Wales",2,"Global warming","Labor"
"Male",89,"New South Wales",2,"Global warming","Labor"
"Male",68,"New South Wales",3,"National security","Labor"
"Female",82,"New South Wales",8,"Taxation","Liberal"
"Female",23,"New South Wales",8,"The cost of living","Liberal"
"Female",30,"New South Wales",7,"Health and Medicare","Labor"
"Female",32,"New South Wales",6,"Management of the economy","Labor"
"Female",36,"New South Wales",3,"The environment","Labor"
"Female",72,"New South Wales",5,"Taxation","Liberal"
"Female",55,"New South Wales",9,"The environment","Liberal"
"Female",65,"New South Wales",5,"The cost of living","Labor"
"Female",50,"New South Wales",7,"Management of the economy","Liberal"
"Female",69,"New South Wales",5,"The cost of living","Labor"
"Male",73,"New South Wales",4,"Global warming","Labor"
"Male",56,"New South Wales",4,"Global warming","Labor"
"Female",49,"New South Wales",4,"The environment","Labor"
"Female",55,"New South Wales",5,"The cost of living","Liberal"
"Female",39,"New South Wales",4,"The cost of living","Labor"
"Female",49,"New South Wales",7,"Education","Labor"
"Female",76,"New South Wales",9,"National security","Liberal"
"Female",64,"New South Wales",2,"Health and Medicare","Labor"
"Male",86,"New South Wales",8,"Education","Liberal"
"Female",72,"New South Wales",8,"Education","Liberal"
"Female",65,"New South Wales",5,"Health and Medicare","Labor"
"Male",60,"New South Wales",5,"Taxation","Liberal"
"Male",77,"New South Wales",8,"Management of the economy","Liberal"
"Male",29,"New South Wales",3,"The cost of living","Labor"
"Female",74,"New South Wales",6,"Management of the economy","Liberal"
"Female",66,"New South Wales",5,"Health and Medicare","Labor"
"Male",72,"New South Wales",5,"Taxation","Labor"
"Male",90,"New South Wales",7,"Management of the economy","Liberal"
"Male",74,"New South Wales",8,"Taxation","Liberal"
"Male",45,"New South Wales",8,"The cost of living","Liberal"
"Female",50,"New South Wales",5,"The environment","Liberal"
"Female",69,"New South Wales",5,"National security","Labor"
"Male",58,"New South Wales",5,"The cost of living","Liberal"
"Female",47,"New South Wales",7,"National security","Liberal"
"Male",77,"New South Wales",9,"National security","Liberal"
"Female",33,"New South Wales",6,"The cost of living","Labor"
"Female",20,"New South Wales",6,"The cost of living","Labor"
"Female",27,"New South Wales",5,"The cost of living","Labor"
"Male",56,"New South Wales",4,"Global warming","Labor"
"Male",65,"New South Wales",5,"Management of the economy","Liberal"
"Female",72,"New South Wales",4,"Taxation","Labor"
"Male",28,"New South Wales",5,"The cost of living","Labor"
"Female",45,"New South Wales",4,"Taxation","Labor"
"Female",86,"New South Wales",4,"Global warming","Labor"
"Female",66,"New South Wales",3,"Health and Medicare","Liberal"
"Female",85,"New South Wales",4,"Global warming","Labor"
"Female",67,"New South Wales",0,"The cost of living","Labor"
"Male",57,"New South Wales",5,"Management of the economy","Labor"
"Male",48,"New South Wales",6,"The environment","Labor"
"Male",78,"New South Wales",4,"Education","Labor"
"Male",44,"New South Wales",5,"Health and Medicare","Liberal"
"Male",42,"New South Wales",1,"Taxation","Labor"
"Male",59,"New South Wales",2,"Management of the economy","Labor"
"Female",58,"New South Wales",8,"The cost of living","Liberal"
"Male",61,"New South Wales",4,"Taxation","Liberal"
"Female",42,"New South Wales",8,"Management of the economy","Liberal"
"Male",46,"New South Wales",4,"Global warming","Labor"
"Male",39,"New South Wales",5,"National security","Liberal"
"Male",70,"New South Wales",0,"Taxation","Labor"
"Female",76,"New South Wales",4,"Health and Medicare","Labor"
"Female",69,"New South Wales",8,"Taxation","Labor"
"Male",63,"New South Wales",8,"Health and Medicare","Liberal"
"Female",62,"New South Wales",5,"Taxation","Liberal"
"Female",54,"New South Wales",6,"Management of the economy","Liberal"
