"B_COUNTRY_ALPHA","Q121","country"
"AND",5,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",2,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",2,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",3,"AND"
"AND",2,"AND"
"AND",5,"AND"
"AND",3,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",3,"AND"
"AND",-2,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",2,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",3,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",3,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",5,"AND"
"AND",3,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",5,"AND"
"AND",4,"AND"
"AND",4,"AND"
"AND",4,"AND"
